,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
102099,lightpa01,2016,1,BOS,AL,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102131,maedake01,2016,1,LAN,NL,35,57,5,7,1,0,1,4.0,0.0,0.0,1,16.0,0.0,0.0,8.0,0.0,1.0
102147,marisja01,2016,1,HOU,AL,118,287,40,60,18,1,5,21.0,10.0,5.0,16,83.0,0.0,3.0,4.0,1.0,4.0
102152,marrede01,2016,1,BOS,AL,13,12,0,1,0,0,0,0.0,0.0,0.0,2,5.0,0.0,0.0,0.0,0.0,0.0
102164,martimi02,2016,2,BOS,AL,4,6,1,1,0,0,0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0
102185,mccanbr01,2016,1,NYA,AL,130,429,56,104,13,0,20,58.0,1.0,0.0,54,99.0,2.0,7.0,0.0,2.0,15.0
102187,mccarbr01,2016,1,LAN,NL,10,13,0,0,0,0,0,1.0,0.0,0.0,2,6.0,0.0,0.0,0.0,0.0,0.0
102189,mcculla02,2016,1,HOU,AL,14,3,1,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102195,mchugco01,2016,1,HOU,AL,33,6,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,2.0,0.0,0.0
102213,millean01,2016,1,NYA,AL,44,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102217,millemi01,2016,1,BOS,AL,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102224,mitchbr01,2016,1,NYA,AL,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102227,moncayo01,2016,1,BOS,AL,8,19,3,4,1,0,0,1.0,0.0,0.0,1,12.0,0.0,0.0,0.0,0.0,0.0
102238,moranco01,2016,1,HOU,AL,9,23,1,3,1,0,0,2.0,0.0,0.0,1,8.0,0.0,1.0,0.0,0.0,4.0
102258,mulleco01,2016,1,NYA,AL,3,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102264,musgrjo01,2016,1,HOU,AL,11,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
102279,neshepa01,2016,1,HOU,AL,60,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102292,norribu01,2016,2,LAN,NL,13,15,1,4,0,0,0,1.0,0.0,0.0,0,2.0,0.0,0.0,1.0,0.0,0.0
102295,novaiv01,2016,1,NYA,AL,21,4,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0
102316,olsonty01,2016,1,NYA,AL,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102322,ortizda01,2016,1,BOS,AL,151,537,79,169,48,1,38,127.0,2.0,0.0,80,86.0,15.0,2.0,0.0,7.0,22.0
102324,osullse01,2016,1,BOS,AL,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102329,owenshe02,2016,1,BOS,AL,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102340,parkebl01,2016,2,NYA,AL,16,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102342,parmech01,2016,1,NYA,AL,6,8,4,4,1,0,2,4.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0
102348,paulida01,2016,1,HOU,AL,3,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102351,pazosja01,2016,1,NYA,AL,7,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102352,peacobr01,2016,1,HOU,AL,10,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102356,pederjo01,2016,1,LAN,NL,137,406,64,100,26,0,25,68.0,6.0,2.0,63,130.0,4.0,4.0,1.0,2.0,5.0
102357,pedrodu01,2016,1,BOS,AL,154,633,105,201,36,1,15,74.0,7.0,4.0,61,73.0,0.0,0.0,1.0,3.0,24.0
102395,pindebr01,2016,1,NYA,AL,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102397,pinedmi01,2016,1,NYA,AL,32,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
102408,pomerdr01,2016,2,BOS,AL,14,2,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
102410,porceri01,2016,1,BOS,AL,33,5,0,1,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
102417,priceda01,2016,1,BOS,AL,35,10,0,0,0,0,0,0.0,0.0,0.0,1,8.0,0.0,0.0,0.0,0.0,0.0
102419,puigya01,2016,1,LAN,NL,104,334,45,88,14,2,11,45.0,5.0,2.0,24,74.0,0.0,7.0,0.0,3.0,10.0
102432,ramirha01,2016,1,BOS,AL,147,549,81,157,28,1,30,111.0,9.0,3.0,60,120.0,5.0,7.0,0.0,4.0,17.0
102440,ramirno01,2016,1,BOS,AL,14,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102447,rasmuco01,2016,1,HOU,AL,107,369,38,76,10,0,15,54.0,4.0,1.0,43,121.0,0.0,0.0,1.0,4.0,5.0
102449,ravinjo01,2016,1,LAN,NL,10,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102456,reddijo01,2016,2,LAN,NL,47,155,20,40,6,0,2,9.0,3.0,3.0,11,22.0,0.0,0.0,0.0,0.0,1.0
102458,reedaj01,2016,1,HOU,AL,45,122,11,20,3,0,3,8.0,0.0,0.0,18,48.0,0.0,0.0,0.0,1.0,1.0
102461,refsnro01,2016,1,NYA,AL,58,152,25,38,9,0,0,12.0,2.0,1.0,18,30.0,2.0,1.0,0.0,3.0,5.0
