,playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
43653,hatchch02,2015,1,LAN,NL,3,5,49,0,0,0,4,117,35,16,4,13,45,0.238,3.69,2.0,3,3.0,0,166.0,12,19,2.0,1.0,4.0
43659,hembrhe01,2015,1,BOS,AL,2,0,22,0,0,0,0,76,25,10,5,9,15,0.258,3.55,2.0,1,0.0,0,106.0,9,10,0.0,0.0,3.0
43667,hillri01,2015,1,BOS,AL,2,1,4,4,1,1,0,87,14,5,2,5,36,0.141,1.55,0.0,0,2.0,0,106.0,0,5,0.0,0.0,3.0
43669,hinojda01,2015,1,BOS,AL,0,0,1,0,0,0,0,5,0,0,0,3,2,0.0,0.0,0.0,0,1.0,0,9.0,1,0,0.0,0.0,0.0
43678,howeljp01,2015,1,LAN,NL,6,1,65,0,0,0,1,132,47,7,3,14,39,0.272,1.43,1.0,3,2.0,1,190.0,18,9,0.0,1.0,6.0
43681,huffda01,2015,1,LAN,NL,0,0,3,1,0,0,0,18,11,6,2,1,4,0.407,9.0,0.0,0,1.0,0,30.0,1,6,1.0,0.0,0.0
43696,janseke01,2015,1,LAN,NL,2,1,54,0,0,0,36,157,33,14,6,8,80,0.176,2.41,0.0,0,2.0,0,200.0,50,14,0.0,2.0,0.0
43706,johnsbr02,2015,1,BOS,AL,0,1,1,1,0,0,0,13,3,4,0,4,3,0.214,8.31,0.0,0,0.0,0,19.0,0,4,0.0,1.0,1.0
43709,johnsji04,2015,2,LAN,NL,0,3,23,0,0,0,1,56,32,21,3,6,17,0.381,10.13,0.0,1,4.0,0,95.0,2,22,0.0,1.0,4.0
43711,jonesga02,2015,1,NYA,AL,0,0,1,0,0,0,0,2,0,0,0,1,0,0.0,0.0,0.0,0,1.0,0,4.0,1,0,0.0,0.0,0.0
43718,kazmisc01,2015,2,HOU,AL,2,6,13,13,0,0,0,220,78,34,13,24,54,0.27,4.17,0.0,3,6.0,0,323.0,0,42,2.0,2.0,4.0
43722,kellyjo05,2015,1,BOS,AL,10,6,25,25,0,0,0,403,145,72,15,49,110,0.276,4.82,0.0,9,6.0,0,587.0,0,76,0.0,5.0,12.0
43727,kershcl01,2015,1,LAN,NL,16,7,33,33,4,3,0,698,163,55,15,42,301,0.194,2.13,1.0,9,5.0,3,890.0,0,62,4.0,0.0,8.0
43728,keuchda01,2015,1,HOU,AL,20,8,33,33,3,2,0,696,185,64,17,51,216,0.217,2.48,0.0,9,2.0,0,911.0,0,68,1.0,3.0,21.0
43745,latosma01,2015,2,LAN,NL,0,3,6,5,0,0,0,73,31,18,3,6,18,0.323,6.66,1.0,1,0.0,1,106.0,1,19,2.0,2.0,2.0
43747,layneto01,2015,1,BOS,AL,2,1,64,0,0,0,1,143,41,21,3,27,45,0.234,3.97,2.0,1,2.0,0,207.0,9,22,2.0,1.0,3.0
43754,leeza01,2015,1,LAN,NL,0,1,1,1,0,0,0,14,11,7,1,1,3,0.478,13.5,0.0,0,0.0,0,24.0,0,7,0.0,0.0,1.0
43760,liberad01,2015,1,LAN,NL,2,2,39,0,0,0,0,89,26,14,3,9,29,0.232,4.25,4.0,1,0.0,0,122.0,5,14,0.0,1.0,2.0
43762,lindgja01,2015,1,NYA,AL,0,0,7,0,0,0,0,21,5,4,3,4,8,0.208,5.14,0.0,0,0.0,0,29.0,2,4,0.0,1.0,1.0
43781,machije01,2015,2,BOS,AL,1,0,26,0,0,0,4,69,21,13,5,8,20,0.236,5.09,0.0,2,0.0,0,98.0,9,14,0.0,1.0,1.0
43792,martich02,2015,1,NYA,AL,0,2,24,0,0,0,1,62,28,13,2,6,18,0.304,5.66,1.0,3,1.0,0,99.0,8,13,0.0,0.0,0.0
43799,masteju01,2015,1,BOS,AL,4,2,18,9,0,0,0,178,68,37,7,27,49,0.289,5.61,0.0,7,10.0,1,273.0,4,38,0.0,1.0,5.0
43811,mccarbr01,2015,1,LAN,NL,3,0,4,4,0,0,0,69,24,15,9,4,29,0.267,5.87,0.0,0,0.0,0,94.0,0,15,0.0,0.0,1.0
43812,mcculla02,2015,1,HOU,AL,6,7,22,22,1,0,0,377,106,45,10,43,129,0.226,3.22,2.0,8,5.0,1,520.0,0,49,0.0,3.0,11.0
43817,mchugco01,2015,1,HOU,AL,19,7,32,32,0,0,0,611,207,88,19,53,171,0.263,3.89,2.0,5,9.0,0,859.0,0,89,5.0,4.0,12.0
43825,mendero01,2015,2,BOS,AL,0,0,3,0,0,0,0,6,3,1,1,1,1,0.375,4.5,0.0,0,0.0,0,9.0,2,1,0.0,0.0,1.0
43827,mileywa01,2015,1,BOS,AL,11,11,32,32,1,0,0,581,201,96,17,64,147,0.265,4.46,0.0,10,4.0,1,831.0,0,98,3.0,2.0,13.0
43828,millean01,2015,1,NYA,AL,3,2,60,0,0,0,36,185,33,14,5,20,100,0.151,2.04,1.0,2,5.0,0,246.0,53,16,1.0,2.0,1.0
43833,mitchbr01,2015,1,NYA,AL,0,2,20,2,0,0,1,89,37,21,4,16,29,0.296,6.37,1.0,6,2.0,0,143.0,8,24,0.0,0.0,4.0
43840,morendi01,2015,1,NYA,AL,1,0,4,0,0,0,0,31,9,6,1,3,8,0.225,5.23,0.0,1,2.0,0,45.0,1,6,0.0,0.0,0.0
43850,mujiced01,2015,1,BOS,AL,1,1,11,0,0,0,0,41,15,7,3,3,8,0.294,4.61,0.0,0,1.0,2,56.0,4,7,1.0,0.0,4.0
43860,neshepa01,2015,1,HOU,AL,3,6,66,0,0,0,1,164,49,22,8,12,51,0.24,3.62,1.0,1,2.0,0,223.0,8,25,4.0,1.0,3.0
43861,nicasju01,2015,1,LAN,NL,1,3,53,1,0,0,1,175,59,25,1,32,65,0.263,3.86,6.0,2,1.0,0,260.0,12,25,3.0,0.0,5.0
43872,novaiv01,2015,1,NYA,AL,6,11,17,17,0,0,0,282,99,53,13,33,63,0.269,5.07,0.0,5,7.0,0,413.0,0,54,3.0,2.0,7.0
43876,oberhbr01,2015,1,HOU,AL,2,2,8,8,0,0,0,115,44,19,4,17,27,0.293,4.46,0.0,2,1.0,0,171.0,0,21,1.0,2.0,5.0
43881,ogandal01,2015,1,BOS,AL,3,1,64,0,0,0,0,196,59,29,12,28,53,0.242,3.99,2.0,1,3.0,2,277.0,16,29,0.0,2.0,5.0
43892,owenshe02,2015,1,BOS,AL,4,4,11,11,0,0,0,189,62,32,7,24,50,0.255,4.57,0.0,4,3.0,1,272.0,0,35,0.0,2.0,4.0
43899,pazosja01,2015,1,NYA,AL,0,0,11,0,0,0,0,15,3,0,0,3,3,0.176,0.0,0.0,1,0.0,0,21.0,1,0,1.0,0.0,0.0
43900,peacobr01,2015,1,HOU,AL,0,1,1,1,0,0,0,15,5,3,0,2,3,0.278,5.4,0.0,0,1.0,0,22.0,0,3,0.0,1.0,1.0
43904,peraljo01,2015,1,LAN,NL,3,1,33,0,0,0,3,87,28,14,6,8,24,0.248,4.34,1.0,1,0.0,0,121.0,7,14,0.0,0.0,1.0
43908,perezol01,2015,2,HOU,AL,0,3,22,0,0,0,0,36,14,9,2,4,14,0.275,6.75,1.0,1,0.0,0,55.0,4,12,0.0,0.0,0.0
43916,pindebr01,2015,1,NYA,AL,0,2,25,0,0,0,0,83,28,9,4,14,25,0.262,2.93,1.0,0,0.0,1,122.0,10,9,0.0,1.0,2.0
43917,pinedmi01,2015,1,NYA,AL,12,10,27,27,1,0,0,482,176,78,21,21,156,0.278,4.37,0.0,4,3.0,0,668.0,0,83,4.0,6.0,9.0
43920,porceri01,2015,1,BOS,AL,9,15,28,28,0,0,0,516,196,94,25,38,149,0.287,4.92,0.0,12,10.0,1,737.0,0,103,2.0,5.0,21.0
