,2015,2016,2017,2018,2019
Reg_BA,0.209719933,0.193816172,0.230485364,0.170696558,0.190390268
Post_BA,0.091666667,,0.165082783,0.221989469,0.247233677
Reg_HR_avg,0.038081552,0.033528765,0.043081873,0.048413418,0.054809242
Post_HR_avg,,,0.045643615,0.042045455,0.058421344
Reg_ERA,4.03,4.16,3.72,3.78,4.31
Post_ERA,3,No player ERAs found,2.965317919,5.931818182,2.865306122
Reg_HRA_avg,0.124857078,0.149824971,0.132535665,0.121538109,0.171864172
Post_HRA_avg,0.1,No Pitching HRAs Found,0.399247008,0.163888889,0.143554362
