,2015,2016,2017,2018,2019
Reg_BA,0.22167268680759805,0.17778907314679823,0.1738029342226945,0.1891562446650951,0.21821361700205932
Post_BA,0.17974258614291957,,0.1667211300843339,0.21267945673310043,0.18043354810748033
Reg_HR_avg,0.042132258655431395,0.035707844905320106,0.04241668151844591,0.03759398496240601,0.05130946018172101
Post_HR_avg,0.054463647807301056,,0.0323756863295377,0.04169094794094794,0.03198580019209706
Reg_ERA,3.57,4.06,4.12,3.11,3.66
Post_ERA,6.540909090909091,,5.950555555555556,5.829999999999999,6.09642857142857
Reg_HRA_avg,0.10270645385149202,0.12329700272479564,0.13278008298755187,0.10446735395189004,0.15728288124002737
Post_HRA_avg,0.1152485380116959,,0.20558751540318354,0.19982683982683982,0.19086123953954537
