,yearID,round,playerID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
12965,2015,ALDS1,keuchda01,HOU,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12966,2015,ALWC,keuchda01,HOU,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12981,2015,ALDS1,lowrije01,HOU,AL,3,3,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
12982,2015,ALWC,lowrije01,HOU,AL,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12988,2015,ALDS1,marisja01,HOU,AL,3,7,1,3,1,0,0,0,0,0.0,0,2,0,0.0,0.0,0.0,0.0
12989,2015,ALWC,marisja01,HOU,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12996,2015,ALWC,mccanbr01,NYA,AL,1,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12997,2015,ALDS1,mcculla02,HOU,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12999,2015,ALDS1,mchugco01,HOU,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13004,2015,ALWC,millean01,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13027,2015,ALDS1,neshepa01,HOU,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13040,2015,NLDS2,pederjo01,LAN,NL,5,4,0,0,0,0,0,0,0,0.0,4,1,1,0.0,0.0,0.0,0.0
13044,2015,NLDS2,peraljo01,LAN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13046,2015,ALDS1,perezol01,HOU,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13059,2015,NLDS2,puigya01,LAN,NL,3,6,0,0,0,0,0,0,0,0.0,0,3,0,0.0,0.0,0.0,0.0
13061,2015,ALDS1,rasmuco01,HOU,AL,5,14,3,6,1,0,3,5,1,0.0,6,6,2,0.0,0.0,0.0,0.0
13062,2015,ALWC,rasmuco01,HOU,AL,1,3,1,1,0,0,1,1,0,0.0,1,1,0,0.0,0.0,0.0,0.0
13066,2015,ALWC,refsnro01,NYA,AL,1,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13082,2015,ALWC,rodrial01,NYA,AL,1,4,0,0,0,0,0,0,0,0.0,0,2,0,0.0,0.0,0.0,0.0
13084,2015,NLDS2,rolliji01,LAN,NL,4,7,0,1,0,0,0,0,0,0.0,0,2,0,0.0,0.0,0.0,1.0
13090,2015,NLDS2,ruggiju01,LAN,NL,3,4,0,0,0,0,0,0,0,0.0,0,3,0,0.0,0.0,0.0,0.0
13098,2015,NLDS2,seageco01,LAN,NL,5,16,2,3,1,0,0,0,0,0.0,1,8,0,0.0,0.0,0.0,0.0
13100,2015,ALDS1,sippto01,HOU,AL,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13101,2015,ALWC,sippto01,HOU,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13108,2015,ALDS1,springe01,HOU,AL,5,19,5,4,1,0,1,3,0,0.0,3,10,0,0.0,0.0,0.0,0.0
13109,2015,ALWC,springe01,HOU,AL,1,4,0,1,1,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
13118,2015,ALWC,tanakma01,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
