,playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
5117,baezpe01,2016,NLCS,LAN,NL,0,0,3,0,0,0,0,10,6,2,1,2,4,0.375,5.4,0.0,0.0,0.0,0.0,19.0,0,6,1.0,0.0,0.0
5118,baezpe01,2016,NLDS2,LAN,NL,0,0,4,0,0,0,0,11,0,0,0,2,1,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0,0,0.0,0.0,0.0
5119,barnema01,2016,ALDS2,BOS,AL,0,0,1,0,0,0,0,5,3,0,0,0,1,0.429,0.0,0.0,0.0,0.0,0.0,7.0,0,1,0.0,0.0,0.0
5128,blantjo01,2016,NLCS,LAN,NL,0,2,3,0,0,0,0,9,7,7,3,2,3,0.438,21.0,2.0,0.0,0.0,0.0,18.0,0,7,0.0,0.0,0.0
5129,blantjo01,2016,NLDS2,LAN,NL,1,0,4,0,0,0,0,15,1,0,0,1,5,0.062,0.0,0.0,0.0,0.0,0.0,17.0,0,0,0.0,0.0,0.0
5131,buchhcl01,2016,ALDS2,BOS,AL,0,1,1,1,0,0,0,12,6,2,0,1,4,0.353,4.5,0.0,0.0,0.0,0.0,19.0,0,2,1.0,0.0,0.0
5146,daytogr01,2016,NLCS,LAN,NL,0,0,3,0,0,0,0,5,1,0,0,0,2,0.167,0.0,0.0,0.0,0.0,0.0,6.0,1,0,0.0,0.0,0.0
5147,daytogr01,2016,NLDS2,LAN,NL,0,0,4,0,0,0,0,5,5,3,1,2,4,0.5,16.2,0.0,0.0,0.0,0.0,12.0,0,3,0.0,0.0,0.0
5157,fieldjo03,2016,NLCS,LAN,NL,0,0,2,0,0,0,0,4,1,0,0,0,1,0.2,0.0,0.0,0.0,0.0,0.0,5.0,0,0,0.0,0.0,0.0
5158,fieldjo03,2016,NLDS2,LAN,NL,0,0,2,0,0,0,0,3,0,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0.0,0.0,0.0
5175,hillri01,2016,NLCS,LAN,NL,1,0,1,1,0,0,0,18,2,0,0,2,6,0.1,0.0,0.0,0.0,0.0,0.0,22.0,0,0,0.0,0.0,0.0
5176,hillri01,2016,NLDS2,LAN,NL,0,1,2,2,0,0,0,21,9,5,1,4,13,0.31,6.43,1.0,0.0,2.0,0.0,35.0,0,5,0.0,0.0,1.0
5177,janseke01,2016,NLCS,LAN,NL,0,0,3,0,0,0,1,19,1,0,0,0,10,0.05,0.0,0.0,0.0,0.0,0.0,20.0,3,0,0.0,0.0,0.0
5178,janseke01,2016,NLDS2,LAN,NL,0,0,4,0,0,0,2,16,4,4,1,5,9,0.2,6.75,1.0,0.0,1.0,0.0,26.0,2,4,0.0,0.0,0.0
5183,kellyjo05,2016,ALDS2,BOS,AL,0,0,3,0,0,0,0,11,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0,0.0,0.0,0.0
5184,kershcl01,2016,NLCS,LAN,NL,1,1,2,2,0,0,0,36,9,4,2,1,10,0.205,3.0,0.0,0.0,0.0,0.0,46.0,0,5,0.0,1.0,0.0
5185,kershcl01,2016,NLDS2,LAN,NL,1,0,3,2,0,0,1,37,15,8,0,3,19,0.294,5.84,0.0,0.0,0.0,0.0,56.0,1,8,0.0,2.0,0.0
5186,kimbrcr01,2016,ALDS2,BOS,AL,0,0,2,0,0,0,0,4,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2,0,0.0,0.0,0.0
5203,maedake01,2016,NLCS,LAN,NL,0,0,2,2,0,0,0,23,7,4,0,5,8,0.233,4.7,0.0,1.0,1.0,0.0,36.0,0,4,0.0,0.0,0.0
5204,maedake01,2016,NLDS2,LAN,NL,0,1,1,1,0,0,0,9,5,4,1,2,4,0.357,12.0,0.0,0.0,1.0,0.0,17.0,0,4,0.0,0.0,0.0
5226,pomerdr01,2016,ALDS2,BOS,AL,0,0,2,0,0,0,0,11,4,2,1,2,7,0.286,4.91,1.0,0.0,0.0,0.0,17.0,0,2,1.0,0.0,0.0
5227,porceri01,2016,ALDS2,BOS,AL,0,1,1,1,0,0,0,13,6,5,3,0,6,0.333,10.38,0.0,0.0,1.0,0.0,19.0,0,5,0.0,0.0,0.0
5228,priceda01,2016,ALDS2,BOS,AL,0,1,1,1,0,0,0,10,6,5,1,2,3,0.375,13.5,0.0,0.0,0.0,0.0,18.0,0,5,0.0,0.0,0.0
5236,rossro01,2016,ALDS2,BOS,AL,0,0,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
5249,stripro01,2016,NLCS,LAN,NL,0,0,3,0,0,0,0,8,6,4,0,1,0,0.462,13.5,0.0,0.0,0.0,0.0,14.0,1,5,0.0,0.0,1.0
5250,stripro01,2016,NLDS2,LAN,NL,0,0,2,0,0,0,0,5,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2,0,0.0,1.0,0.0
5263,ueharko01,2016,ALDS2,BOS,AL,0,0,2,0,0,0,0,6,1,0,0,0,1,0.167,0.0,0.0,0.0,0.0,0.0,6.0,1,0,0.0,0.0,1.0
5264,uriasju01,2016,NLCS,LAN,NL,0,1,1,1,0,0,0,11,4,4,1,2,4,0.25,9.82,0.0,0.0,0.0,0.0,18.0,0,4,0.0,0.0,0.0
5265,uriasju01,2016,NLDS2,LAN,NL,1,0,1,0,0,0,0,6,1,0,0,2,1,0.2,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0.0,0.0,0.0
5266,woodal02,2016,NLCS,LAN,NL,0,0,1,0,0,0,0,6,2,0,0,0,1,0.25,0.0,0.0,0.0,1.0,0.0,9.0,1,0,0.0,0.0,0.0
5270,zieglbr01,2016,ALDS2,BOS,AL,0,0,1,0,0,0,0,2,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0.0,1.0,0.0
5279,betande01,2017,ALCS,NYA,AL,0,0,2,0,0,0,0,3,1,1,0,2,1,0.333,9.0,0.0,0.0,0.0,0.0,6.0,1,1,0.0,1.0,0.0
5280,betande01,2017,ALDS1,NYA,AL,0,1,3,0,0,0,0,9,1,1,0,3,5,0.1,3.0,0.0,0.0,0.0,0.0,13.0,2,1,0.0,0.0,0.0
5287,chapmar01,2017,ALCS,NYA,AL,0,1,2,0,0,0,1,4,2,1,0,0,3,0.333,6.75,0.0,0.0,0.0,0.0,6.0,2,1,0.0,0.0,0.0
5288,chapmar01,2017,ALDS1,NYA,AL,0,0,3,0,0,0,2,17,4,0,0,2,10,0.19,0.0,1.0,0.0,0.0,0.0,23.0,2,0,0.0,0.0,0.0
5289,chapmar01,2017,ALWC,NYA,AL,0,0,1,0,0,0,0,3,1,0,0,0,3,0.25,0.0,0.0,0.0,0.0,0.0,4.0,1,0,0.0,0.0,0.0
5290,cingrto01,2017,NLCS,LAN,NL,0,0,2,0,0,0,0,3,1,0,0,0,1,0.25,0.0,0.0,0.0,1.0,0.0,5.0,0,0,0.0,0.0,0.0
5291,cingrto01,2017,NLDS1,LAN,NL,0,0,2,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,0.0,1.0
5292,cingrto01,2017,WS,LAN,NL,0,0,3,0,0,0,0,9,2,1,1,2,2,0.2,3.0,2.0,0.0,0.0,0.0,12.0,0,1,0.0,0.0,1.0
5294,darviyu01,2017,NLCS,LAN,NL,1,0,1,1,0,0,0,19,6,1,1,1,7,0.25,1.42,0.0,0.0,0.0,0.0,25.0,0,1,0.0,0.0,1.0
5295,darviyu01,2017,NLDS1,LAN,NL,1,0,1,1,0,0,0,15,2,1,1,0,7,0.118,1.8,0.0,0.0,1.0,0.0,18.0,0,1,0.0,0.0,0.0
5296,darviyu01,2017,WS,LAN,NL,0,2,2,2,0,0,0,10,9,8,2,2,0,0.474,21.6,0.0,0.0,0.0,0.0,22.0,0,9,0.0,1.0,0.0
5301,devench02,2017,ALCS,HOU,AL,0,0,2,0,0,0,0,2,1,1,0,2,0,0.5,13.5,0.0,0.0,0.0,0.0,5.0,0,1,0.0,1.0,0.0
5302,devench02,2017,ALDS2,HOU,AL,0,0,3,0,0,0,0,7,4,3,0,0,3,0.364,11.57,0.0,0.0,0.0,0.0,11.0,0,3,0.0,0.0,0.0
5303,devench02,2017,WS,HOU,AL,1,0,5,0,0,0,0,15,4,4,2,1,5,0.211,7.2,0.0,0.0,0.0,0.0,20.0,2,4,0.0,0.0,0.0
5310,fieldjo03,2017,NLCS,LAN,NL,0,0,2,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0.0,0.0,0.0
5311,fieldjo03,2017,NLDS1,LAN,NL,0,0,1,0,0,0,0,1,1,0,0,0,1,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,0.0,0.0
5312,fieldjo03,2017,WS,LAN,NL,0,0,1,0,0,0,0,0,3,2,2,0,0,1.0,inf,0.0,0.0,0.0,0.0,3.0,0,2,0.0,0.0,0.0
5313,fistedo01,2017,ALDS2,BOS,AL,0,0,1,1,0,0,0,4,4,3,1,1,1,0.5,20.25,0.0,1.0,0.0,0.0,9.0,0,3,0.0,0.0,0.0
5314,garcija02,2017,ALDS1,NYA,AL,0,0,1,0,0,0,0,8,0,0,0,2,3,0.0,0.0,1.0,2.0,0.0,0.0,10.0,0,0,0.0,1.0,0.0
5315,gileske01,2017,ALCS,HOU,AL,0,1,3,0,0,0,1,9,5,3,1,3,5,0.357,9.0,1.0,1.0,0.0,0.0,17.0,2,3,0.0,0.0,0.0
5316,gileske01,2017,ALDS2,HOU,AL,0,0,2,0,0,0,1,9,3,2,1,0,2,0.25,6.0,0.0,1.0,0.0,0.0,12.0,2,2,0.0,0.0,0.0
5317,gileske01,2017,WS,HOU,AL,0,1,2,0,0,0,0,5,4,5,1,2,3,0.444,27.0,0.0,1.0,0.0,0.0,11.0,0,5,0.0,0.0,0.0
5321,grayso01,2017,ALCS,NYA,AL,0,0,1,1,0,0,0,15,1,1,0,2,4,0.062,1.8,0.0,1.0,1.0,0.0,20.0,0,2,0.0,0.0,1.0
5322,grayso01,2017,ALDS1,NYA,AL,0,1,1,1,0,0,0,10,3,3,1,4,2,0.25,8.1,0.0,1.0,1.0,0.0,17.0,0,3,0.0,0.0,1.0
5323,greench03,2017,ALCS,NYA,AL,1,0,3,0,0,0,0,19,3,0,0,1,7,0.136,0.0,0.0,0.0,0.0,0.0,23.0,1,1,0.0,0.0,1.0
5324,greench03,2017,ALDS1,NYA,AL,0,0,1,0,0,0,0,1,2,3,1,0,0,0.667,81.0,0.0,0.0,1.0,0.0,4.0,0,3,0.0,0.0,0.0
5325,greench03,2017,ALWC,NYA,AL,0,0,1,0,0,0,0,6,1,1,0,2,4,0.143,4.5,0.0,0.0,0.0,0.0,9.0,0,1,0.0,0.0,0.0
